database_ingredient,Energy,Protein,Total water,Thiamin (B1),Riboflavin (B2),Niacin,Pyridoxine (B6),Cobalamin (B12),Vitamin A,Vitamin C,Vitamin D,Vitamin E,Calcium,Phosphorus,Zinc,Iron,Magnesium,Sodium,Potassium
"Sugar, brown",15.52,0.002,0.017,0,0,0,0.001,0,0,0,0,0,1.5,0,0,0.012,0.21,0.21,3
"Sugar, raw",15.97,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0.003,0.03,0.01,0.21
"Sugar, white, granulated or lump",16,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02
"Sugar, white, icing",16,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02
"Sugar, white, icing mixture",15.98,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02
"Syrup, golden",12.03,0.002,0.17,0,0,0.004,0.002,0,0,0,0,0,2.3,0,0,0.033,0.37,1.3,6.1
"Syrup, maple, pure",10.82,0,0.324,0.001,0.013,0.001,0,0,0,0,0,0,1.02,0.02,0.015,0.001,0.21,0.12,2.12
"Caramels, soft & hard",16.2,0.025,0.062,0,0.001,0.005,0,0,0.76,0,0,0.005,0.67,0.65,0.004,0.003,0.11,2.5,1.2
"Jelly crystals, sugar sweetened, all flavours",15.82,0.071,0.008,0,0,0,0,0,0,0,0,0,0.04,0,0,0.001,0,5.2,0.04
"Jelly, sugar sweetened, all flavours, prepared",2.3,0.01,0.856,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0.78,0.01
"Liquorice, black",12.83,0.057,0.17,0,0,0.031,0.004,0,0,0,0,0.002,2.8,0.53,0.006,0.088,1.2,1.2,10.6
"Liquorice, allsorts",14.73,0.023,0.068,0,0,0.012,0.002,0,0,0,0,0.001,1.13,0.21,0.002,0.035,0.48,0.48,4.25
"Liquorice, chocolate-coated",15.52,0.063,0.123,0,0.001,0.028,0.003,0,0.24,0.01,0,0.004,2.72,1.15,0.008,0.066,0.99,1.04,8.7
"Lolly, hard varieties",15.66,0,0.006,0,0,0,0,0,0,0,0,0,0.71,0.03,0.003,0.001,0,2.5,0.03
"Lolly, jelly varieties",12.6,0.039,0.152,0,0,0,0,0,0,0,0,0,0.06,0.08,0,0.001,0.01,0.39,0.03
"Lolly, mint flavoured, sugar sweetened",15.88,0.001,0.047,0,0,0,0,0,0,0,0,0,0.01,0.11,0,0,0.01,0.48,0.03
"Meringue, all flavours, commercial",15.38,0.026,0.024,0,0.001,0.007,0,0,0,0,0,0,0.03,0.06,0.002,0,0,0.4,0.32
"Artichoke, globe, raw",1.45,0.028,0.852,0.001,0.001,0.011,0.001,0,0.15,0.16,0,0.002,0.3,0.9,0.006,0.005,0.18,0.06,3.6
"Artichoke, globe, boiled, drained",1.7,0.033,0.826,0.001,0.001,0.013,0.001,0,0.16,0.14,0,0.002,0.34,0.95,0.007,0.006,0.2,0.07,3.81
"Artichoke, jerusalem, peeled, raw",2.45,0.021,0.797,0.001,0.001,0.011,0.001,0,0.03,0.07,0,0.002,0.2,0.78,0.003,0.009,0.11,0.05,5.2
"Artichoke, jerusalem, peeled, boiled, drained",2.63,0.022,0.782,0.001,0.001,0.012,0.001,0,0.03,0.05,0,0.002,0.2,0.75,0.003,0.009,0.11,0.05,5.03
"Artichoke heart, canned in brine, drained",1.04,0.019,0.9,0,0,0.014,0.001,0,0.02,0.03,0,0.002,0.33,0.37,0.003,0.004,0.22,2.8,1.8
"Asparagus, green, raw",0.88,0.025,0.928,0.002,0.001,0.015,0.001,0,0.26,0.15,0,0.005,0.11,0.43,0.002,0.01,0.15,0.02,3.2
"Asparagus, green, boiled, drained",1.04,0.029,0.915,0.001,0.001,0.018,0.001,0,0.28,0.13,0,0.006,0.12,0.46,0.002,0.011,0.17,0.02,3.39
"Asparagus, canned in brine, drained",1.01,0.019,0.935,0,0.001,0.01,0.001,0,0.67,0.06,0,0.006,0.12,0.35,0.006,0.016,0.07,2.4,1.2
"Avocado, raw",5.79,0.016,0.723,0,0,0.021,0.001,0,0.12,0.04,0,0.018,0.1,0.49,0.005,0.005,0.26,0.07,4.5
"Bamboo shoot, canned in water, heated, drained",0.57,0.008,0.957,0,0,0.004,0.001,0,0,0,0,0,0.15,0.08,0.005,0.004,0.05,0.1,0.51
"Basil, green, fresh, raw",0.94,0.026,0.916,0.001,0.001,0.006,0.001,0,5.83,0.06,0,0.021,2.2,0.91,0.009,0.03,0.55,0.1,4.4
"Bean, broad, fresh, raw",2.35,0.069,0.76,0.002,0.003,0.032,0,0,0.34,0.41,0,0,0.17,0.95,0.012,0.019,0.3,0.04,2.5
"Bean, broad, fresh, boiled, drained",2.52,0.074,0.742,0.001,0.003,0.034,0,0,0.31,0.29,0,0,0.16,0.92,0.011,0.017,0.26,0.03,2.02
"Bean, butter, fresh, raw",1.04,0.023,0.916,0.001,0.001,0.014,0.001,0,0.15,0.15,0,0.007,0.16,0.42,0.015,0.004,0.22,0.03,2.3
"Bean, butter, fresh, boiled, drained",1.12,0.025,0.91,0,0.001,0.015,0.001,0,0.14,0.1,0,0.006,0.15,0.4,0.014,0.004,0.19,0.02,1.85
"Bean, green, fresh, raw",1.06,0.018,0.918,0.001,0,0.002,0.001,0,0.48,0.04,0,0,0.45,0.32,0.003,0.007,0.24,0,2.8
"Bean, green, fresh, boiled, drained",1.14,0.019,0.912,0,0,0.002,0,0,0.44,0.02,0,0,0.41,0.31,0.003,0.006,0.21,0,2.26
"Bean, green, frozen, boiled, drained",1.08,0.014,0.922,0,0.001,0.005,0.001,0,0.59,0.03,0,0,0.33,0.42,0.019,0.008,0.18,0.02,0.76
"Beetroot, fresh, purple, peeled, raw",2.01,0.019,0.868,0,0,0.006,0.001,0,0.02,0.06,0,0.001,0.08,0.35,0.008,0.009,0.26,0.54,2.9
"Beetroot, fresh, purple, peeled, baked, no added fat",2.46,0.023,0.84,0,0,0.008,0.001,0,0.02,0.05,0,0.001,0.1,0.43,0.01,0.011,0.32,0.66,3.54
"Beetroot, fresh, purple, peeled, boiled, drained",2.16,0.02,0.859,0,0,0.007,0.001,0,0.02,0.04,0,0.001,0.08,0.34,0.008,0.009,0.26,0.55,2.81
"Beetroot, canned in brine, drained",1.84,0.012,0.876,0,0,0.018,0,0,0,0,0,0,0.1,0.21,0.002,0.007,0.12,2.2,2.1
"Bok choy, raw",0.79,0.025,0.948,0.001,0.001,0.003,0.005,0,0.92,0.17,0,0.001,0.83,0.28,0.004,0.014,0.18,0.57,2.5
"Bok choy, fried, no added fat",1.13,0.036,0.926,0.001,0.002,0.004,0.007,0,1.18,0.21,0,0.002,1.18,0.39,0.005,0.02,0.26,0.81,3.57
"Bok choy, steamed",0.82,0.026,0.946,0.001,0.001,0.003,0.004,0,0.91,0.1,0,0.001,0.82,0.24,0.004,0.014,0.18,0.56,2.21
"Broccoli, fresh, raw",1.31,0.047,0.897,0.001,0.002,0.012,0.001,0,0.48,1.06,0,0.002,0.32,0.75,0.006,0.008,0.21,0.22,3.36
"Broccoli, fresh, microwaved",1.12,0.032,0.92,0.001,0.001,0.008,0.001,0,0.75,0.57,0,0.008,0.26,0.54,0.003,0.006,0.12,0.13,1.81
"Broccoli, fresh, boiled, drained",1,0.029,0.925,0.001,0.001,0.008,0.001,0,0.75,0.57,0,0.011,0.26,0.54,0.003,0.006,0.12,0.13,1.81
"Broccoli, fresh, baked, no added fat",1.6,0.057,0.874,0.001,0.003,0.015,0.001,0,0.53,1.1,0,0.002,0.39,0.91,0.007,0.01,0.26,0.26,4.1
"Broccolini, fresh, raw",1.22,0.032,0.922,0.001,0.001,0.005,0.001,0,0.5,0.12,0,0.002,0.39,0.61,0.005,0.008,0.21,0.16,2.5
"Broccolini, fresh, boiled, drained",1.27,0.033,0.919,0.001,0.001,0.005,0.001,0,0.46,0.1,0,0.002,0.38,0.57,0.004,0.008,0.21,0.16,2.34
"Brussels sprout, fresh, raw",1.5,0.038,0.884,0.001,0.002,0.013,0.002,0,0.28,1.1,0,0.009,0.15,0.69,0.003,0.009,0.18,0.3,3.8
"Brussels sprout, fresh, boiled, drained",1.56,0.04,0.879,0.001,0.001,0.014,0.002,0,0.28,0.63,0,0.009,0.15,0.61,0.003,0.009,0.18,0.3,3.36
"Cabbage, Chinese, raw",0.44,0.011,0.957,0,0,0.005,0.001,0,0.32,0.2,0,0,0.25,0.4,0.002,0.003,0.08,0.06,2.5
"Cabbage, Chinese, boiled, drained",0.46,0.011,0.955,0,0,0.005,0.001,0,0.31,0.11,0,0,0.25,0.35,0.002,0.003,0.08,0.06,2.21
"Cabbage, Chinese flowering, raw",0.71,0.013,0.942,0,0.001,0.009,0.001,0,2.3,0.46,0,0,0.7,0.4,0.005,0.017,0.12,0.13,3.4
"Cabbage, Chinese flowering, boiled, drained",0.74,0.014,0.94,0,0.001,0.01,0.001,0,2.27,0.26,0,0,0.69,0.35,0.005,0.017,0.12,0.13,3.01
"Cabbage, mustard, raw",0.77,0.023,0.938,0.001,0.001,0.009,0.005,0,2.73,1,0,0.001,1.3,0.28,0.001,0.007,0.11,0.03,4.5
"Cabbage, mustard, boiled, drained",0.8,0.024,0.935,0.001,0.001,0.009,0.005,0,2.56,0.88,0,0.001,1.35,0.29,0.001,0.007,0.11,0.03,4.69
"Cabbage, red, raw",1.22,0.022,0.881,0.001,0.001,0.008,0.002,0,0.02,0.69,0,0.001,0.35,0.3,0.003,0.006,0.14,0.16,4.5
"Cabbage, red, boiled, drained",1.27,0.023,0.876,0.001,0.001,0.009,0.002,0,0.02,0.4,0,0.001,0.35,0.26,0.003,0.006,0.14,0.16,3.98
"Cabbage, savoy, raw",0.9,0.017,0.922,0.001,0.001,0.006,0.001,0,0.13,0.46,0,0,0.39,0.4,0.003,0.006,0.14,0.23,3.4
"Cabbage, savoy, boiled, drained",0.93,0.018,0.919,0,0,0.006,0.001,0,0.13,0.26,0,0,0.38,0.35,0.003,0.006,0.14,0.23,3.01
"Cabbage, white, raw",0.91,0.013,0.908,0.001,0,0.005,0.001,0,0.01,0.45,0,0,0.32,0.4,0.002,0.005,0.14,0.14,2.66
"Cabbage, white, boiled, drained",0.94,0.014,0.905,0,0,0.006,0.001,0,0.01,0.26,0,0,0.32,0.35,0.002,0.005,0.13,0.13,2.36
"Capers, pickled, canned, drained",1.26,0.024,0.838,0,0.001,0.009,0,0,0.14,0.04,0,0.009,0.4,0.1,0.003,0.017,0.33,23.48,0.4
"Capsicum, green, fresh, raw",0.69,0.009,0.944,0,0,0.002,0.001,0,0.19,2.2,0,0.002,0.06,0.26,0.001,0.002,0.1,0.01,1.9
"Capsicum, green, fresh, fried, no added fat",0.76,0.01,0.937,0,0,0.002,0.001,0,0.19,2.08,0,0.002,0.07,0.29,0.001,0.003,0.11,0.01,2.11
"Capsicum, red, fresh, raw",1.15,0.011,0.93,0,0.001,0.002,0.001,0,1.11,3.3,0,0.042,0.07,0.31,0.001,0.003,0.1,0.03,2.4
"Capsicum, red, fresh, fried, no added fat",1.28,0.012,0.922,0,0.001,0.002,0.001,0,1.11,3.12,0,0.044,0.07,0.34,0.002,0.003,0.11,0.03,2.67
"Carrot, baby, peeled, fresh, raw",1.34,0.007,0.884,0,0,0.007,0,0,16.22,0.07,0,0,0.42,0.31,0.002,0.005,0.11,0.51,2.1
"Carrot, baby, peeled, fresh, boiled, drained",1.44,0.008,0.875,0,0,0.007,0,0,15.69,0.05,0,0,0.43,0.3,0.002,0.005,0.11,0.52,2.03
"Carrot, baby, baked, no added fat",1.46,0.008,0.874,0,0,0.008,0,0,16.74,0.06,0,0,0.46,0.34,0.002,0.005,0.12,0.55,2.28
"Carrot, mature, peeled, fresh, raw",1.46,0.006,0.885,0,0,0.002,0,0,17.01,0.03,0,0,0.26,0.31,0.002,0.002,0.12,0.49,2.64
"Carrot, mature, peeled, fresh, baked, no added fat",1.79,0.007,0.86,0,0,0.002,0,0,19.71,0.02,0,0,0.32,0.38,0.002,0.003,0.14,0.6,3.22
"Carrot, mature, peeled, fresh, boiled, drained",1.39,0.011,0.898,0,0,0.005,0,0,16.82,0.02,0,0.003,0.26,0.3,0.002,0.002,0.11,0.67,2.62
"Cassava, peeled, fresh, raw",5.87,0.011,0.62,0.002,0,0.008,0.001,0,0.68,0.4,0,0.002,0.2,0.27,0.024,0.008,0.11,0.02,2.7
"Cassava, peeled, fresh, boiled, drained",6.32,0.012,0.592,0.001,0,0.009,0.001,0,0.66,0.28,0,0.002,0.2,0.26,0.024,0.008,0.11,0.02,2.61
"Cassava, white flesh, peeled, fresh, raw",6.44,0.006,0.584,0.002,0,0.005,0.001,0,0.08,0.38,0,0.002,0.21,0.27,0.024,0.01,0.13,0.02,2.5
"Cassava, white flesh, peeled, fresh, boiled, drained",6.92,0.006,0.553,0.002,0,0.006,0.001,0,0.07,0.26,0,0.002,0.21,0.26,0.025,0.01,0.13,0.02,2.42
"Cassava, yellow flesh, peeled, fresh, raw",5.31,0.016,0.657,0.001,0,0.011,0.001,0,1.28,0.41,0,0.002,0.18,0.27,0.023,0.006,0.09,0.02,2.9
"Cassava, yellow flesh, peeled, fresh, boiled, drained",5.71,0.017,0.631,0.001,0,0.012,0.001,0,1.24,0.29,0,0.002,0.18,0.26,0.024,0.006,0.09,0.02,2.81
"Cauliflower, fresh, raw",1.02,0.019,0.927,0,0.001,0.004,0.002,0,0,0.26,0,0,0.18,0.46,0.002,0.003,0.16,0.4,2.42
"Cauliflower, fresh, boiled, drained",1.06,0.02,0.924,0,0,0.004,0.001,0,0,0.2,0,0,0.18,0.43,0.002,0.003,0.15,0.4,2.27
"Celeriac, peeled, raw",1.62,0.016,0.866,0.001,0.001,0.012,0.002,0,0.03,0.13,0,0.004,0.41,0.3,0.005,0.002,0.22,0.21,4.4
"Celeriac, peeled, boiled, drained",1.74,0.017,0.856,0.001,0.001,0.012,0.001,0,0.03,0.09,0,0.004,0.42,0.28,0.005,0.002,0.22,0.21,4.26
"Celery, fresh, raw",0.63,0.006,0.948,0,0,0.005,0,0,0.1,0.05,0,0,0.44,0.3,0.002,0.003,0.1,0.98,2.67
"Celery, fresh, fried, no added fat",0.77,0.007,0.937,0,0,0.007,0,0,0.1,0.05,0,0,0.54,0.36,0.003,0.003,0.12,1.19,3.26
"Chicory, raw",0.67,0.018,0.936,0,0.001,0.011,0.001,0,0.42,0.12,0,0.023,0.3,0.47,0.002,0.017,0.12,0.36,2.2
"Chicory, boiled, drained",0.78,0.021,0.925,0,0.001,0.012,0.001,0,0.44,0.1,0,0.025,0.34,0.5,0.002,0.019,0.13,0.4,2.33
"Chilli (chili), green, raw",1.81,0.028,0.809,0.001,0.001,0.02,0.003,0,0.32,1.28,0,0.007,0.12,0.2,0.004,0.016,0.11,0.04,2.8
"Chilli (chili), green, fried, no added fat",2.01,0.031,0.788,0.001,0.001,0.022,0.003,0,0.32,1.21,0,0.007,0.13,0.22,0.004,0.018,0.12,0.04,3.11
"Chilli (chili), red, raw",2,0.014,0.817,0.001,0.002,0.038,0.003,0,2.94,2.01,0,0.034,0.16,0.24,0.003,0.011,0.28,0.03,3
"Chilli (chili), red, fried, no added fat",2.22,0.016,0.797,0.001,0.002,0.043,0.003,0,2.94,1.9,0,0.036,0.18,0.27,0.003,0.012,0.31,0.03,3.33
"Chives, raw",1.2,0.015,0.896,0.001,0.002,0.01,0.001,0,3.83,0.29,0,0.002,0.9,0.58,0.004,0.028,0.12,0.07,2.1
"Choko, peeled, fresh, raw",0.87,0.005,0.943,0,0,0.006,0.001,0,0.08,0.14,0,0.001,0.17,0.18,0.002,0.003,0.11,0.08,0.88
"Choko, peeled, fresh, boiled, drained",1.03,0.006,0.932,0,0,0.007,0.001,0,0.09,0.11,0,0.001,0.19,0.19,0.002,0.003,0.12,0.09,0.94
"Coriander, fresh, raw",1.32,0.031,0.905,0.001,0.002,0.01,0.001,0,5.15,0.3,0,0.017,0.86,0.54,0.006,0.045,0.3,0.45,5.4
"Corn, fresh on cob, raw",3.66,0.036,0.782,0.001,0.001,0.016,0.001,0,0.01,0.03,0,0,0.16,0.22,0.005,0.012,0.12,0.19,2.5
"Corn, fresh on cob, boiled, drained",3.81,0.038,0.773,0,0,0.017,0.001,0,0.01,0.02,0,0,0.16,0.21,0.004,0.012,0.12,0.19,2.34
"Corn, kernels, canned in brine, drained",3.91,0.029,0.774,0,0,0.016,0.002,0,0.08,0.03,0,0.001,0.02,0.62,0.005,0.004,0.17,1.7,1.24
"Corn, kernels, purchased frozen, raw",3.9,0.03,0.76,0.001,0,0.019,0.002,0,0.02,0.04,0,0.001,0.03,0.71,0.005,0.004,0.24,0.05,2.02
"Corn, kernels, purchased frozen, boiled, drained",4.52,0.031,0.739,0.001,0.001,0.02,0.002,0,0.09,0.05,0,0.001,0.05,0.74,0.006,0.006,0.27,0.08,2.1
"Cucumber, common, peeled, raw",0.5,0.004,0.962,0,0,0.003,0.001,0,0.06,0.08,0,0,0.13,0.18,0.004,0.003,0.09,0.21,0.97
"Cucumber, common, unpeeled, raw",0.5,0.008,0.954,0,0,0.003,0.001,0,0.45,0.07,0,0,0.18,0.18,0.002,0.002,0.14,0.1,1.36
"Cucumber, Lebanese, unpeeled, raw",0.52,0.006,0.959,0,0,0.002,0.018,0,0.15,0.09,0,0,0.42,0.28,0.002,0.003,0.1,0.12,1.34
"Cucumber, telegraph, unpeeled, raw",0.56,0.012,0.963,0,0,0.005,0.001,0,0.28,0.08,0,0,0.49,0.18,0.002,0.003,0.13,0.16,2.1
"Dill, fresh, raw",1.7,0.034,0.894,0.002,0.005,0.016,0.002,0,10.4,0.66,0,0,1.7,0.55,0.009,0.019,0.31,0.42,3.7
"Eggplant, unpeeled, fresh, raw",0.93,0.011,0.928,0.001,0,0.009,0.017,0,0.08,0.03,0,0.028,0.23,0.26,0.001,0.002,0.08,0.05,1.7
"Eggplant, unpeeled, fresh, grilled, no added fat",1.32,0.016,0.898,0.001,0.001,0.013,0.018,0,0.1,0.03,0,0.038,0.31,0.33,0.001,0.003,0.11,0.07,2.18
"Eggplant, unpeeled, fresh, baked, no added fat",1.09,0.013,0.916,0.001,0,0.011,0.019,0,0.08,0.03,0,0.031,0.27,0.3,0.001,0.002,0.09,0.06,2
"Endive, fresh, raw",0.58,0.015,0.943,0,0.001,0.006,0,0,0.73,0.18,0,0.004,0.46,0.28,0.004,0.017,0.1,0.76,1.9
"Fennel, fresh, raw",0.92,0.01,0.929,0,0,0.003,0.001,0,0,0.09,0,0.006,0.2,0.5,0.001,0.001,0.1,0.38,2.8
"Fennel, fresh, boiled, drained",1.08,0.012,0.916,0,0,0.004,0,0,0,0.08,0,0.007,0.22,0.53,0.001,0.001,0.11,0.42,2.96
"Garlic, peeled, fresh, raw",5.22,0.061,0.599,0.001,0.001,0.019,0.012,0,0.02,0.11,0,0.001,0.3,0.32,0.01,0.017,0.25,0.08,5.1
"Garlic, peeled, fresh, fried, no added fat",8.42,0.098,0.353,0.001,0.001,0.03,0.019,0,0.02,0.15,0,0.001,0.48,0.52,0.016,0.027,0.4,0.13,8.22
"Gherkin, pickled, drained, commercial",4.41,0.004,0.734,0,0,0.003,0,0,0.06,0,0,0.002,0.22,0.1,0,0.005,0.08,5.2,0.11
"Ginger, peeled, fresh, raw",1.32,0.008,0.904,0,0,0.01,0.002,0,0.06,0.03,0,0.003,0.17,0.34,0.004,0.006,0.28,0.11,2.4
"Ginger, peeled, fresh, fried, no added fat",1.6,0.01,0.883,0,0,0.012,0.002,0,0.06,0.03,0,0.003,0.21,0.41,0.005,0.007,0.34,0.13,2.93
"Kale, raw",1.03,0.033,0.887,0.001,0.001,0.005,0.001,0,2.17,0.32,0,0,2.3,0.58,0.003,0.016,0.49,1.2,4.6
"Kohlrabi, peeled, fresh, raw",1.63,0.037,0.868,0.001,0.001,0.012,0.001,0,0.05,0.71,0,0,0.25,0.4,0.004,0.007,0.26,0.16,5.1
"Kale, cooked, no added fat",1.47,0.047,0.838,0.001,0.001,0.008,0.002,0,2.78,0.39,0,0,3.28,0.83,0.004,0.023,0.7,1.71,6.57
"Kohlrabi, peeled, fresh, boiled, drained",1.7,0.038,0.862,0.001,0,0.012,0.001,0,0.05,0.55,0,0,0.25,0.38,0.004,0.007,0.26,0.16,4.78
"Leek, fresh, raw",1.36,0.021,0.907,0.001,0.001,0.007,0.001,0,0.46,0.3,0,0.003,0.33,0.34,0.003,0.007,0.14,0.17,2.6
"Leek, fresh, fried, no added fat",1.64,0.025,0.888,0.001,0.001,0.008,0.001,0,0.5,0.31,0,0.004,0.4,0.41,0.004,0.008,0.17,0.2,3.13
"Leek, fresh, boiled, drained",1.51,0.023,0.897,0,0.001,0.008,0.001,0,0.46,0.25,0,0.003,0.35,0.34,0.003,0.007,0.15,0.18,2.6
"Lettuce, cos, raw",0.8,0.014,0.94,0,0.001,0.005,0.001,0,2.04,0.13,0,0.002,0.2,0.31,0.003,0.007,0.13,0.18,2.1
"Lettuce, iceberg, raw",0.6,0.01,0.962,0.001,0,0.001,0,0,0.05,0.02,0,0,0.18,0.29,0.002,0.003,0.09,0.12,1.7
"Lettuce, mignonette, raw",0.64,0.013,0.947,0.001,0.001,0.005,0.001,0,0.97,0.12,0,0.002,0.2,0.25,0.003,0.011,0.13,0.18,2.3
"Mixed leafy greens, commercial, raw",0.54,0.022,0.935,0,0.001,0.004,0.001,0,3.33,0.02,0,0.004,0.96,0.43,0.005,0.016,0.74,0.91,4
"Melon, bitter, fresh, raw",0.46,0.009,0.938,0.001,0,0.005,0,0,0.1,0.5,0,0,0.22,0.31,0.001,0.009,0.16,0.03,2.6
"Melon, hairy, fresh, raw",0.61,0.007,0.938,0.001,0.001,0.003,0,0,0.03,0.69,0,0,0.12,0.31,0.002,0.003,0.15,0.02,2.5
"Mint, fresh, raw",2.25,0.031,0.842,0.002,0.001,0.016,0.001,0,10.61,0.26,0,0.009,2.1,0.47,0.008,0.036,0.34,0.28,3.8
"Mixed vegetables, purchased frozen, carrot, corn & pea/bean, boiled, drained",1.87,0.018,0.887,0.001,0,0.017,0.002,0,2.87,0.04,0,0.001,0.31,0.43,0.003,0.006,0.13,0.25,1.9
"Mushroom, common, fresh, raw",0.87,0.022,0.931,0.001,0,0.038,0,0,0,0,0.021,0,0.03,1.1,0.001,0.005,0.11,0.09,3.6
"Mushroom, common, fresh, fried, no added fat",1.56,0.04,0.877,0.001,0,0.068,0,0,0,0,0.034,0,0.05,1.96,0.001,0.008,0.2,0.15,6.43
"Mushroom, common, vitamin D enhanced, fresh, raw",0.87,0.022,0.926,0.001,0,0.038,0,0,0,0,0.242,0,0.03,1.1,0.001,0.005,0.11,0.09,3.6
"Mushroom, common, vitamin D enhanced, fresh, fried, no added fat",1.56,0.04,0.868,0.001,0,0.068,0,0,0,0,0.389,0,0.05,1.96,0.001,0.008,0.2,0.15,6.43
"Okra, raw",1.12,0.031,0.883,0.001,0.001,0.017,0.002,0,0.17,0.34,0,0.003,0.82,0.63,0.006,0.011,0.48,0.02,2.8
"Okra, cooked, no added fat",1.2,0.033,0.874,0.001,0.001,0.018,0.002,0,0.16,0.27,0,0.003,0.84,0.61,0.006,0.011,0.49,0.02,2.71
"Olive, green or black, drained",8.62,0.024,0.698,0,0,0.002,0,0,0.47,0.01,0,0.05,0.52,0.1,0.001,0.019,0.16,14.5,0.66
"Onion, mature, brown skinned, peeled, raw",1.39,0.013,0.888,0,0,0.002,0,0,0,0.07,0,0,0.23,0.44,0.002,0.002,0.12,0.08,1.8
"Onion, mature, brown skinned, peeled, fresh, fried, no added fat",2.24,0.021,0.82,0,0,0.004,0.001,0,0,0.1,0,0,0.37,0.7,0.003,0.004,0.2,0.12,2.9
"Onion, mature, white skinned, peeled, fresh, raw",1.28,0.017,0.903,0,0,0.008,0,0,0.01,0.06,0,0,0.26,0.32,0.002,0.003,0.12,0.13,1.68
"Onion, mature, white skinned, peeled, fresh, fried, no added fat",2.03,0.027,0.846,0.001,0,0.013,0.001,0,0.01,0.08,0,0,0.41,0.52,0.004,0.005,0.19,0.21,2.67
"Onion, mature, red skinned, raw",1.13,0.008,0.914,0,0,0.001,0,0,0,0.05,0,0.002,0.19,0.38,0.001,0.002,0.11,0.05,1.4
"Onion, mature, red skinned, fried, no added fat",1.83,0.012,0.86,0,0,0.002,0,0,0,0.06,0,0.003,0.31,0.61,0.002,0.003,0.18,0.08,2.26
"Onion, spring, fresh, raw",1.27,0.017,0.905,0,0.001,0.015,0,0,1.04,0.32,0,0.006,0.22,0.37,0.001,0.005,0.11,0.13,1.4
"Onion, spring, fresh, fried, no added fat",2.04,0.027,0.847,0,0.001,0.025,0.001,0,1.51,0.44,0,0.008,0.35,0.6,0.002,0.008,0.18,0.21,2.26
"Parsley, continental, fresh, raw",1.5,0.039,0.862,0.001,0.002,0.024,0.001,0,7,1.8,0,0.028,1.2,0.94,0.009,0.039,0.43,1.5,6.6
"Parsley, curly, fresh, raw",0.96,0.019,0.865,0.002,0.003,0.016,0.001,0,7.94,0.95,0,0.009,2,1.1,0.012,0.094,0.33,0.48,8.5
"Parsnip, peeled, fresh, raw",2.37,0.018,0.831,0.001,0.001,0.016,0.001,0,0.02,0.12,0,0.002,0.38,0.6,0.004,0.003,0.24,0.19,4.2
"Parsnip, peeled, fresh, baked, no added fat",2.89,0.022,0.794,0.001,0.001,0.02,0.001,0,0.03,0.11,0,0.003,0.46,0.73,0.005,0.004,0.29,0.23,5.12
"Parsnip, peeled, fresh, boiled, drained",2.55,0.019,0.818,0.001,0.001,0.017,0.001,0,0.02,0.08,0,0.002,0.39,0.58,0.004,0.003,0.24,0.19,4.06
"Pea, green, fresh, raw",2.94,0.058,0.773,0.003,0.001,0.033,0.002,0,0.71,0.32,0,0.001,0.3,1.2,0.011,0.018,0.33,0.01,2.68
"Pea, green, fresh, boiled, drained",2.51,0.048,0.828,0.002,0.001,0.022,0.001,0,0.69,0.14,0,0,0.18,0.75,0.008,0.011,0.21,0.01,1.4
"Pea, green, frozen, boiled, drained",2.61,0.052,0.809,0.002,0.001,0.02,0.001,0,0.3,0.11,0,0.001,0.27,0.75,0.018,0.016,0.24,0.03,1.2
"Potato, chips, regular, fast food outlet, deep fried, blended oil, salted",9.44,0.038,0.502,0.001,0.001,0.04,0.001,0,0,0.01,0,0.004,0.1,1.04,0.005,0.009,0.25,2.28,4.91
"Potato, chips, regular, fast food outlet, deep fried, monounsaturated oil, salted",10.2,0.038,0.502,0.001,0.001,0.04,0.001,0,0,0.01,0,0.004,0.1,1.04,0.005,0.009,0.25,1.92,4.91
"Potato, chips, regular, independent takeaway outlet, deep fried, blended oil, salted",9.97,0.038,0.502,0.001,0.001,0.04,0.001,0,0,0.01,0,0.004,0.1,1.04,0.005,0.009,0.25,1.8,4.91
"Potato, chips, regular, purchased frozen, baked, no added fat",10.87,0.048,0.364,0.001,0,0.038,0.001,0,0.01,0.2,0,0.004,0.08,1.54,0.006,0.013,0.45,0.6,4.91
"Potato, coliban, peeled, raw",2.42,0.02,0.822,0.001,0,0.015,0.001,0,0,0.15,0,0,0.03,0.54,0.002,0.005,0.19,0.04,3.8
"Potato, coliban, peeled, baked, no added fat",3.68,0.03,0.73,0.001,0,0.023,0.002,0,0,0.18,0,0,0.05,0.82,0.003,0.007,0.29,0.07,5.76
"Potato, coliban, peeled, boiled, drained",2.34,0.01,0.835,0.001,0,0.004,0.001,0,0,0.11,0,0,0.06,0.44,0.002,0.004,0.14,0.1,3.87
"Potato, desiree, peeled, raw",2.4,0.023,0.812,0.001,0,0.017,0.001,0,0,0.14,0,0,0.06,0.55,0.003,0.002,0.2,0.05,4
"Potato, desiree, peeled, baked, no added fat",3.64,0.035,0.714,0.001,0.001,0.025,0.001,0,0,0.17,0,0,0.1,0.83,0.004,0.004,0.3,0.08,6.06
